"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Apr 18 16:11:41 ALMT 2023","Tue Apr 18 16:11:44 ALMT 2023","3392","TrackStudio integration tests","Integration_Tests","com.ts.integration.tests.proc_sla_feature.SlaFeature3Test","com.ts.integration.tests.proc_sla_feature.SlaFeature3Test","msgSlaFeatureSendCostFinal","Сообщить окончательные условия реализации",""
"failed","Tue Apr 18 16:13:16 ALMT 2023","Tue Apr 18 16:13:16 ALMT 2023","0","TrackStudio integration tests","Integration_Tests","com.ts.integration.tests.proc_sla_feature.SlaFeature3Test","com.ts.integration.tests.proc_sla_feature.SlaFeature3Test","afterMethod","afterMethod",""
"passed","Tue Apr 18 16:07:46 ALMT 2023","Tue Apr 18 16:07:51 ALMT 2023","5928","TrackStudio integration tests","Integration_Tests","com.ts.integration.tests.proc_sla_bug.SlaBug4Test","com.ts.integration.tests.proc_sla_bug.SlaBug4Test","slaBugMsgUndoDecline","отменить заказ",""
"passed","Tue Apr 18 16:09:58 ALMT 2023","Tue Apr 18 16:10:20 ALMT 2023","22108","TrackStudio integration tests","Integration_Tests","com.ts.integration.tests.proc_sla_bug.SlaBug3Test","com.ts.integration.tests.proc_sla_bug.SlaBug3Test","slaBugMsgHotFix","предоставить решение",""
"passed","Tue Apr 18 16:13:16 ALMT 2023","Tue Apr 18 16:13:34 ALMT 2023","18147","TrackStudio integration tests","Integration_Tests","com.ts.integration.tests.proc_sla_bug.SlaBug2Test","com.ts.integration.tests.proc_sla_bug.SlaBug2Test","slaBugMsgStartRetry","начать работу",""
"passed","Tue Apr 18 15:43:50 ALMT 2023","Tue Apr 18 15:43:53 ALMT 2023","3243","TrackStudio integration tests","Integration_Tests","com.ts.integration.tests.proc_sla_bug.SlaBug1Test","com.ts.integration.tests.proc_sla_bug.SlaBug1Test","slaBugCat","Создание извещения об ошибке",""
"passed","Tue Apr 18 15:54:02 ALMT 2023","Tue Apr 18 15:55:00 ALMT 2023","58171","TrackStudio integration tests","Integration_Tests","com.ts.integration.tests.proc_sla_bug.SlaBug7Test","com.ts.integration.tests.proc_sla_bug.SlaBug7Test","slaBugMsgAnalize","принятие на анализ",""
"passed","Tue Apr 18 16:21:20 ALMT 2023","Tue Apr 18 16:21:41 ALMT 2023","20718","TrackStudio integration tests","Integration_Tests","com.ts.integration.tests.proc_sla_feature.SlaFeature1Test","com.ts.integration.tests.proc_sla_feature.SlaFeature1Test","msgSlaFeatureClose","Закрыть(поставщик)",""
"passed","Tue Apr 18 16:13:14 ALMT 2023","Tue Apr 18 16:13:16 ALMT 2023","1951","TrackStudio integration tests","Integration_Tests","com.ts.integration.tests.proc_sla_feature.SlaFeature3Test","com.ts.integration.tests.proc_sla_feature.SlaFeature3Test","msgSlaFeatureChangeDesicion","Изменить решение и постановку на реализацию",""
"passed","Tue Apr 18 15:44:44 ALMT 2023","Tue Apr 18 15:45:12 ALMT 2023","28706","TrackStudio integration tests","Integration_Tests","com.ts.integration.tests.proc_sla_bug.SlaBug9Test","com.ts.integration.tests.proc_sla_bug.SlaBug9Test","slaBugCat","создание задачи",""
"passed","Tue Apr 18 16:06:54 ALMT 2023","Tue Apr 18 16:07:30 ALMT 2023","35601","TrackStudio integration tests","Integration_Tests","com.ts.integration.tests.proc_sla_bug.SlaBug1Test","com.ts.integration.tests.proc_sla_bug.SlaBug1Test","slaBugMsgUndoStart","вернуть на анализ",""
"passed","Tue Apr 18 16:08:36 ALMT 2023","Tue Apr 18 16:08:46 ALMT 2023","10052","TrackStudio integration tests","Integration_Tests","com.ts.integration.tests.proc_sla_bug.SlaBug9Test","com.ts.integration.tests.proc_sla_bug.SlaBug9Test","slaBugMsgClose","закрыть",""
"passed","Tue Apr 18 16:18:02 ALMT 2023","Tue Apr 18 16:18:29 ALMT 2023","26562","TrackStudio integration tests","Integration_Tests","com.ts.integration.tests.proc_sla_feature.SlaFeature1Test","com.ts.integration.tests.proc_sla_feature.SlaFeature1Test","msgSlaFeatureFinish","Завершить выполнение работы",""
"failed","Tue Apr 18 15:54:02 ALMT 2023","Tue Apr 18 15:54:02 ALMT 2023","1","TrackStudio integration tests","Integration_Tests","com.ts.integration.tests.proc_sla_bug.SlaBug6Test","com.ts.integration.tests.proc_sla_bug.SlaBug6Test","afterMethod","afterMethod",""
"passed","Tue Apr 18 16:01:31 ALMT 2023","Tue Apr 18 16:01:41 ALMT 2023","10830","TrackStudio integration tests","Integration_Tests","com.ts.integration.tests.proc_sla_bug.SlaBug5Test","com.ts.integration.tests.proc_sla_bug.SlaBug5Test","slaBugMsgStart","начать работу",""
"passed","Tue Apr 18 15:45:43 ALMT 2023","Tue Apr 18 15:47:01 ALMT 2023","78483","TrackStudio integration tests","Integration_Tests","com.ts.integration.tests.proc_sla_feature.SlaFeature1Test","com.ts.integration.tests.proc_sla_feature.SlaFeature1Test","msgSlaFeatureCat","Создание задачи",""
"passed","Tue Apr 18 15:53:08 ALMT 2023","Tue Apr 18 15:53:30 ALMT 2023","22200","TrackStudio integration tests","Integration_Tests","com.ts.integration.tests.proc_sla_bug.SlaBug4Test","com.ts.integration.tests.proc_sla_bug.SlaBug4Test","slaBugMsgAnalize","принятие на анализ",""
"passed","Tue Apr 18 15:58:42 ALMT 2023","Tue Apr 18 16:00:41 ALMT 2023","119616","TrackStudio integration tests","Integration_Tests","com.ts.integration.tests.proc_sla_feature.SlaFeature3Test","com.ts.integration.tests.proc_sla_feature.SlaFeature3Test","msgSlaFeatureTopreCost","Начать предварительную оценку",""
"passed","Tue Apr 18 16:21:01 ALMT 2023","Tue Apr 18 16:21:20 ALMT 2023","19305","TrackStudio integration tests","Integration_Tests","com.ts.integration.tests.proc_sla_feature.SlaFeature1Test","com.ts.integration.tests.proc_sla_feature.SlaFeature1Test","msgSlaFeatureInstall","Установить в производственную среду",""
"passed","Tue Apr 18 16:01:23 ALMT 2023","Tue Apr 18 16:01:30 ALMT 2023","7094","TrackStudio integration tests","Integration_Tests","com.ts.integration.tests.proc_sla_bug.SlaBug4Test","com.ts.integration.tests.proc_sla_bug.SlaBug4Test","slaBugMsgDecline","отклонить",""
"passed","Tue Apr 18 15:49:57 ALMT 2023","Tue Apr 18 15:51:44 ALMT 2023","106136","TrackStudio integration tests","Integration_Tests","com.ts.integration.tests.proc_sla_bug.SlaBug2Test","com.ts.integration.tests.proc_sla_bug.SlaBug2Test","slaBugMsgAnalize","принятие на анализ",""
"passed","Tue Apr 18 16:19:12 ALMT 2023","Tue Apr 18 16:19:38 ALMT 2023","25810","TrackStudio integration tests","Integration_Tests","com.ts.integration.tests.proc_sla_feature.SlaFeature1Test","com.ts.integration.tests.proc_sla_feature.SlaFeature1Test","msgSlaFeatureSend","Отправить патч",""
"passed","Tue Apr 18 15:56:29 ALMT 2023","Tue Apr 18 15:57:20 ALMT 2023","50849","TrackStudio integration tests","Integration_Tests","com.ts.integration.tests.proc_sla_bug.SlaBug10Test","com.ts.integration.tests.proc_sla_bug.SlaBug10Test","slaBugMsgAnalize","принятие на анализ",""
"passed","Tue Apr 18 16:17:01 ALMT 2023","Tue Apr 18 16:17:19 ALMT 2023","17642","TrackStudio integration tests","Integration_Tests","com.ts.integration.tests.proc_sla_feature.SlaFeature1Test","com.ts.integration.tests.proc_sla_feature.SlaFeature1Test","msgSlaFeatureProvideInfo","Предоставить информацию",""
"passed","Tue Apr 18 15:45:12 ALMT 2023","Tue Apr 18 15:45:43 ALMT 2023","30463","TrackStudio integration tests","Integration_Tests","com.ts.integration.tests.proc_sla_bug.SlaBug10Test","com.ts.integration.tests.proc_sla_bug.SlaBug10Test","slaBugCat","создание задачи",""
